Species,Invertebrates,Vertebrates,Fruits,Nectar,Seeds,Ground,Understory,Midstory,Canopy,BMass,Nhabitats
species1,1,0,0,3,0,0,3,1,1,5,4
species2,1,0,0,3,0,0,1,2,2,4.3,3
species3,1,0,0,3,0,0,2,2,2,4.1,5
species4,3,0,0,0,0,1,3,1,0,18.8,1
species5,3,0,0,0,0,1,1,3,0,39,1
species6,3,0,0,0,0,3,1,0,0,24.8,1
species7,2,2,1,0,0,1,2,2,2,43.4,2
species8,3,0,0,0,0,0,3,1,0,35.5,1
species9,2,2,1,0,0,2,2,2,0,175,3
species10,3,0,1,0,0,0,3,1,0,10.3,3
species11,3,0,0,0,0,2,2,0,0,16.3,4
species12,3,1,0,0,0,1,3,1,0,149,3
species13,3,0,1,0,0,0,0,0,3,7.4,6
species14,1,0,3,1,2,0,2,2,1,66.7,1
species15,3,1,1,0,0,2,2,0,0,31,1
species16,3,0,1,0,0,1,0,2,2,150,4
species17,2,0,2,0,0,3,0,0,0,91.1,2
species18,3,0,0,0,0,3,0,0,0,70.9,2
species19,2,0,2,0,0,0,2,2,0,25.6,3
species20,1,0,0,3,0,0,2,2,2,3.2,5
species21,3,0,0,0,0,0,2,2,0,40.8,2
species22,1,0,0,3,0,0,2,2,0,7.2,3
species23,3,0,0,0,0,1,3,0,0,11.9,6
species24,1,0,1,3,0,0,2,2,2,9.3,5
species25,3,0,1,0,0,1,2,2,2,113.7,3
species26,3,0,1,1,0,0,0,0,3,8.4,4
species27,3,1,1,0,0,2,2,0,0,22.1,3
species28,3,0,0,0,0,2,2,0,0,20.1,1
species29,3,1,0,0,0,3,1,0,0,14.9,2
species30,3,0,0,0,0,0,0,2,2,11.5,1
species31,3,0,1,0,0,0,0,2,2,29.5,4
species32,3,0,0,0,0,1,2,2,0,39.5,2
species33,3,1,0,0,0,1,2,2,1,61.9,3
species34,3,0,0,0,0,0,3,0,0,12.2,1
species35,3,0,0,0,0,0,3,0,0,16.3,2
species36,3,0,0,0,0,1,3,0,0,10.8,2
species37,3,0,1,0,1,1,2,2,2,198.5,6
species38,3,0,1,0,0,1,2,2,1,14,2
species39,1,0,0,3,0,0,0,2,2,8.7,3
species40,1,0,3,1,0,0,0,2,2,14.4,2
species41,0,0,3,1,0,0,1,1,3,14,3
species42,3,0,0,0,0,3,0,0,0,47,1
species43,2,0,2,0,2,3,0,0,0,135,3
species44,3,0,0,0,0,3,0,0,0,121.5,2
species45,3,0,1,0,0,1,2,2,0,35.2,1
species46,1,0,0,0,3,2,2,0,0,16.1,2
species47,3,0,0,0,0,0,1,2,2,14.2,2
species48,3,0,0,0,0,0,3,0,0,9.9,2
species49,3,0,0,0,0,0,3,0,0,9.8,2
species50,3,0,0,0,0,0,0,3,0,9.7,1
species51,3,0,1,0,0,0,1,2,2,10,3
species52,3,1,0,0,0,0,0,2,2,46,1
species53,2,0,2,0,0,0,0,2,2,14.6,2
species54,3,0,0,0,0,0,3,0,0,15.4,5
species55,3,0,0,0,0,0,3,0,0,11,3
species56,3,0,0,0,0,0,2,2,1,21.8,2
species57,3,0,0,0,0,0,1,2,2,27,2
species58,3,0,1,0,0,0,2,2,0,10.7,2
species59,1,0,1,0,3,3,0,0,0,155,4
species60,1,0,1,0,3,3,0,0,0,153,5
species61,1,0,0,3,0,0,2,2,2,6.5,4
species62,3,0,0,0,0,3,0,0,0,23,3
species63,3,1,0,0,0,1,3,1,0,51.3,2
species64,3,1,0,0,0,1,3,0,0,67.8,3
species65,3,0,0,0,0,1,2,2,0,44.1,2
species66,1,0,3,0,0,0,3,0,0,16.5,4
species67,1,0,0,3,0,0,2,2,2,8.1,3
species68,1,3,0,0,0,2,2,0,0,193.5,2
species69,2,0,2,0,0,0,3,0,0,13.3,2
species70,3,0,1,0,0,0,1,3,1,24,4
species71,3,0,0,0,0,0,2,2,0,10,3
species72,3,0,0,0,0,0,2,2,0,11,1
species73,3,1,1,0,0,0,1,2,2,44,4
species74,3,0,0,0,0,3,1,0,0,18.5,2
species75,3,0,0,0,0,1,3,0,0,11.2,2
species76,3,0,0,0,0,0,2,2,0,6.4,1
species77,3,0,0,0,0,0,2,2,0,11.1,3
species78,2,0,2,0,0,0,3,0,0,14,3
species79,3,0,0,0,0,1,1,3,1,19,2
species80,0,0,3,0,1,3,0,0,0,396,2
species81,3,0,0,0,0,0,2,2,0,17,1
species82,2,0,2,0,0,0,1,3,0,20.3,4
species83,3,0,0,0,0,3,0,0,0,12.5,1
species84,1,0,0,3,0,0,3,0,0,5.4,2
species85,1,0,0,3,0,0,3,0,0,5.5,3
species86,1,0,0,3,0,0,3,0,0,3.7,4
species87,3,0,0,0,0,0,2,2,2,22.8,1
species88,3,0,0,0,0,0,0,2,2,21,1
species89,3,0,0,0,0,0,0,2,2,20,1
species90,3,0,0,0,0,0,1,2,2,8.1,3
species91,3,0,0,0,0,0,0,0,3,101.5,5
species92,3,0,0,0,0,0,3,1,0,11.5,4
species93,3,0,0,0,0,0,3,0,0,11.7,3
species94,2,0,2,0,2,0,1,2,2,20.5,3
species95,1,0,3,0,0,1,0,2,2,57,3
species96,3,0,0,0,0,0,3,0,0,17,1
species97,3,0,0,0,0,0,3,0,0,10.2,2
species98,3,1,0,0,0,1,3,0,0,28.8,2
species99,1,0,3,0,0,0,0,3,0,372.5,2
species100,1,0,3,0,0,0,3,0,0,15,3
species101,1,1,3,0,0,1,0,0,3,400,2
species102,1,0,0,3,0,0,3,0,0,6.8,2
species103,3,0,0,0,0,0,2,2,0,14,2
species104,2,2,0,0,0,2,2,0,0,290,7
species105,3,0,1,0,1,0,2,2,0,47.7,3
species106,2,0,2,0,0,0,3,0,0,24.8,3
species107,3,0,0,0,0,3,0,0,0,37.4,2
species108,3,0,0,0,0,2,2,0,0,13,2
species109,1,1,3,0,0,1,2,2,0,141.3,2
species110,3,0,0,0,1,0,2,2,2,13.5,5
species111,0,0,0,0,3,2,2,0,0,11,3
species112,0,0,0,0,3,2,2,0,0,9.3,3
species113,3,0,0,0,0,3,1,0,0,13.2,2
species114,3,0,0,0,0,1,3,1,0,13.9,3
species115,3,0,0,0,0,1,3,0,0,12.6,3
species116,3,0,0,0,0,1,3,1,0,27.7,3
species117,2,0,2,0,2,0,0,2,2,29.3,3
species118,1,0,3,0,0,0,2,2,2,19,5
species119,1,0,3,0,0,0,0,0,3,19.8,1
species120,1,0,3,0,0,0,0,2,2,19,3
species121,1,0,0,3,0,0,2,2,0,4.9,3
species122,3,0,1,0,0,1,3,1,0,21.4,4
species123,2,0,2,0,2,0,2,2,2,17,4
species124,2,0,2,0,2,0,0,0,3,44,3
species125,1,0,2,0,2,0,0,1,3,32,4
species126,0,0,1,0,3,0,2,2,0,13,5
species127,3,0,0,0,0,0,3,0,0,7.4,3
species128,3,0,1,0,0,0,2,2,2,14.8,6
species129,2,0,2,0,2,1,2,2,1,24.3,3
species130,3,0,0,0,0,1,3,0,0,10.9,5
species131,2,0,2,0,0,0,2,2,0,55.5,2
species132,2,0,2,0,0,3,1,1,0,50,1
species133,2,0,2,0,0,1,2,2,2,63.1,4
species134,1,1,3,0,1,3,1,1,1,62,4
species135,2,0,2,0,0,3,1,1,1,72.2,3
species136,3,0,1,0,0,0,2,2,2,39.8,3
species137,3,0,1,0,0,0,1,2,2,17,5
species138,1,0,1,0,3,3,1,0,0,9.5,7
species139,3,0,0,0,0,0,3,0,0,11.9,2
species140,3,1,0,0,0,1,3,1,1,116,3
